fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,21.7
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.6
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,20.9
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,21.6
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.2
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.5
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.2
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,24.3
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.3
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.6
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,20.1
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.8
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.4
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.3
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,20.6
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.1
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,21.9
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,23
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.1
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,19.6
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.8
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,23.4
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,23.8
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,23.3
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.5
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.3
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,21.9
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,21.7
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,23.3
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.2
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.3
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.8
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.9
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,23.7
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,21.9
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,22.2
cuckoos.csv,species:meadow.pipit,length,Meadow Pipit,Length,24.4
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,22
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23.9
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,20.9
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23.8
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,25
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,24
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,21.7
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23.8
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,22.8
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23.1
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23.1
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23.5
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23
cuckoos.csv,species:hedge.sparrow,length,Hedge Sparrow,Length,23
