fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,190
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,118
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,149
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,313
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,299
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,99
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,19
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,256
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,290
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,274
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,65
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,334
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,307
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,78
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,322
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,44
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,8
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,320
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,25
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,92
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,13
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,279
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,191
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,284
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,37
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,120
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,137
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,264
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,7
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,71
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,115
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,244
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,190
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,259
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,36
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,220
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,230
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,259
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,259
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,238
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,24
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,112
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,237
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,224
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,27
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,238
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,238
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,14
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,49
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,20
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,193
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,191
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,131
environmental.csv,temperature:low,radiation,Days with low temperature,Solar radiation,223
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,252
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,223
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,127
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,291
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,323
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,148
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,269
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,248
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,236
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,175
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,314
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,276
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,267
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,272
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,175
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,175
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,48
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,260
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,274
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,285
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,187
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,220
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,294
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,223
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,81
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,82
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,213
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,275
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,253
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,254
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,83
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,24
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,77
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,255
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,229
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,207
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,192
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,273
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,157
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,51
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,212
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,238
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,215
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,203
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,225
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,237
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,188
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,167
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,197
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,183
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,189
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,95
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,92
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,252
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,236
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,201
environmental.csv,temperature:high,radiation,Days with high temperature,Solar radiation,139
