fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,placebo
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:low,trt,Younger patients,Treatment,progabide
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
epil.csv,lage:high,trt,Older patients,Treatment,placebo
