fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.7
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.1
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.2
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.7
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.7
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.7
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.9
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.2
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.9
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,1.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.6
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.1
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.9
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.7
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.5
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.8
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.7
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.9
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.1
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.2
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.2
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.2
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,3
iris.csv,Petal.Width:low,Petal.Length,Iris with short petals,Petal length,4.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,3.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.2
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.4
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.8
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.4
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.8
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.8
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.3
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.8
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.3
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.3
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.7
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.8
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.9
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.8
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.4
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,6.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.5
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,4.8
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.4
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.6
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.1
iris.csv,Petal.Width:high,Petal.Length,Iris with long petals,Petal length,5.1
