fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.9
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.7
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.6
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.6
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.9
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.8
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.8
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.3
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.8
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.7
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.7
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.6
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.8
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.2
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.2
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.7
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.8
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.2
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.9
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.9
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.4
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.8
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.1
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,4.6
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5.3
iris.csv,Species:setosa,Sepal.Length,Iris setosa,Sepal length,5
iris.csv,Species:virginica,Sepal.Length,Iris virginica,Sepal length,6.3
iris.csv,Species:virginica,Sepal.Length,Iris virginica,Sepal length,5.8
iris.csv,Species:virginica,Sepal.Length,Iris virginica,Sepal length,7.1
iris.csv,Species:virginica,Sepal.Length,Iris virginica,Sepal length,6.3
iris.csv,Species:virginica,Sepal.Length,Iris virginica,Sepal length,6.5
iris.csv,Species:virginica,Sepal.Length,Iris virginica,Sepal length,7.6
