fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-31
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-6
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-31
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-22
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-40
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-42
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-21
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-42
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-35
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-4
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-36
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-31
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-44
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-36
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-43
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-26
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-37
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-6
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-27
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-16
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-10
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-2
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-24
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-36
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-41
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-31
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-2
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-45
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-40
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-45
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-34
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-48
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-19
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-34
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-25
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,0
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-27
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-40
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-44
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-9
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-13
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-16
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-26
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-35
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-33
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-18
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-7
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-24
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-25
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-30
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-17
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-14
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-4
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-16
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-24
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-28
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-11
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-9
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,20
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,-7
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,11
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,14
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,0
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,8
loti.csv,Year:low,Apr,Years before 1945,Temperature in Apr,10
