fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-28
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-20
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-26
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-27
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-32
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-32
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-29
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-35
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-27
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-17
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-39
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-27
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-32
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-33
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-33
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-25
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-14
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-11
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-26
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-16
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-8
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-15
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-25
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-30
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-34
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-24
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-19
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-39
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-33
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-35
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-33
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-34
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-32
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-30
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-15
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-10
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-30
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-39
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-33
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-20
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-19
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-14
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-26
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-22
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-22
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-17
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-2
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-15
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-13
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-26
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-8
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-2
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-8
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-19
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-7
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-12
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,-5
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,7
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,10
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,1
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,4
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,10
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,3
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,9
loti.csv,Year:low,J.D,Years before 1945,Average temperature in Dec and Jan,19
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,6
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-5
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,0
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-4
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-7
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-15
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-4
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,3
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,11
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-10
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-10
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-17
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,8
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,8
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,6
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-1
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,7
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,4
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,8
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-21
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-11
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-3
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-1
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-4
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,8
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,3
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-11
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,0
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,14
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-8
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-5
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,-16
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,12
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,1
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,8
loti.csv,Year:high,J.D,Years after 1945,Average temperature in Dec and Jan,19
