fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-41
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-20
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-11
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-45
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-26
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-61
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-39
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-65
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-43
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-22
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-49
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-49
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-37
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-82
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-49
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-55
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-23
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-17
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-1
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-21
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-34
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-20
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-14
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-25
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-54
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-29
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-26
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-42
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-39
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-58
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-31
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-52
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-24
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-37
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-3
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-22
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-17
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-42
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-51
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-16
loti.csv,Year:low,Jan,Years before 1945,Temperature in Jan,-12
