fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-29
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-6
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-22
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-22
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-38
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-34
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-26
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-36
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-36
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-4
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-40
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-24
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-37
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-31
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-34
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-28
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-27
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-8
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-36
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-20
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-6
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-5
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-25
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-27
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-38
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-26
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-13
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-40
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-39
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-43
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-34
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-46
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-24
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-37
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-21
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-5
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-31
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-48
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-40
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-15
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-7
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-17
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-26
loti.csv,Year:low,MAM,Years before 1945,"Average temperature in Mar, Apr and May",-32
