fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-25
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-1
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-10
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-17
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-37
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-24
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-34
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-36
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-46
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-2
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-35
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-18
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-34
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-20
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-24
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-30
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-30
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-17
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-48
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-28
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-2
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,2
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-22
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-13
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-33
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-19
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-18
loti.csv,Year:low,Mar,Years before 1945,Temperature in Mar,-26
