fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-22
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-38
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-36
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-34
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-36
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-24
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-34
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-35
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-5
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-37
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-51
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-38
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-43
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-19
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-37
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-13
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-13
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-21
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-38
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,13
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-14
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-22
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-41
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-31
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-11
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-8
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-36
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-43
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-39
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-18
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-41
loti.csv,Year:low,Nov,Years before 1945,Temperature in Nov,-17
