fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-27
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-30
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-37
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-34
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-34
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-27
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-35
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-41
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-11
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-32
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-25
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-25
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-28
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-17
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-27
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-16
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,3
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-11
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-29
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-2
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,1
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-26
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-32
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-41
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-30
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-24
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-14
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-25
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-30
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-21
loti.csv,Year:low,Oct,Years before 1945,Temporature in Oct,-32
