fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.53
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.08
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.85
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.66
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.56
pbc.csv,age:low,albumin,Younger people,Serum albumin,4
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.1
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.23
pbc.csv,age:low,albumin,Younger people,Serum albumin,2.54
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.44
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.2
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.53
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.34
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.26
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.54
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.64
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.55
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.93
pbc.csv,age:low,albumin,Younger people,Serum albumin,2.84
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.65
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.7
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.7
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.4
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.8
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.08
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.5
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.94
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.12
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.6
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.7
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.09
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.46
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.57
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.54
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.6
pbc.csv,age:low,albumin,Younger people,Serum albumin,2.53
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.41
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.02
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.24
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.48
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.4
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.06
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.22
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.47
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.67
pbc.csv,age:low,albumin,Younger people,Serum albumin,2.64
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.7
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.77
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.35
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.6
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.67
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.64
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.2
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.5
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.61
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.54
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.18
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.19
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.11
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.3
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.98
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.23
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.51
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.08
pbc.csv,age:low,albumin,Younger people,Serum albumin,2.89
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.43
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.83
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.67
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.57
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.31
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.77
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.6
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.89
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.26
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.63
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.85
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.35
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.42
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.37
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.46
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.56
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.34
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.26
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.8
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.22
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.61
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.34
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.42
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.56
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.83
pbc.csv,age:low,albumin,Younger people,Serum albumin,4.38
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.58
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.73
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.55
pbc.csv,age:low,albumin,Younger people,Serum albumin,3.54
