fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,CPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,MPSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
stVincent.csv,harvwt:low,site,Cornfields with low harvest,Site,AGSV
