fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,AB
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,B
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,A
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
transplant.csv,event:ltx,abo,Patients in the waiting list,Blood type,O
