fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,1197
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,28
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,231
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,12
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,139
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,9
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,135
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,15
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,0
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,277
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,231
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,223
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,4
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,41
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,250
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,129
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,74
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,24
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,123
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,171
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,29
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,5
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,199
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,135
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,52
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,122
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,45
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,173
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,8
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,1
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,53
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,32
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,18
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,1
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,34
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,4
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,107
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,166
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,48
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,20
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,10
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,104
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,25
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,60
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,184
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,12
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,29
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,31
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,73
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,89
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,231
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,173
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,6
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,172
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,269
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,48
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,26
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,99
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,3
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,8
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,59
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,359
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,282
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,826
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,207
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,75
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,137
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,38
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,106
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,19
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,187
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,19
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,202
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,33
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,72
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,34
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,198
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,327
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,21
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,86
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,35
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,397
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,322
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,203
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,120
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,109
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,156
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,276
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,244
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,143
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,40
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,20
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,197
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,86
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,40
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,50
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,59
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,152
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,37
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,149
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,96
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,194
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,157
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,22
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,329
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,35
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,91
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,73
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,75
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,50
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,31
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,113
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,44
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,1
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,15
transplant.csv,year:low,futime,Patients who enter the waiting list between 1990 and 1994,Time from entry to final disposition,217
