fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,125
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,195
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,120
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,155
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,180
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,240
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,170
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,185
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,130
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,120
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,135
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,105
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,125
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,165
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,270
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,150
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,140
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,165
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,145
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,135
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,145
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,155
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,143
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,145
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,130
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,140
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,115
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,128
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,150
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,150
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,155
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,130
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,185
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,140
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,175
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,150
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,140
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,125
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,125
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,180
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,160
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,105
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,125
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,120
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,115
Backpack.csv,BackpackWeight:low,BodyWeight,Students with backpacks that are not overweight,Body weight,110
