fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,4
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,4
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,3
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,3
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,2
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,2
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,2
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,2
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,3
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,2
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,3
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,2
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,3
cities.csv,Continent:Africa,Threat of terrorism,Cities in Africa,Threat of terrorism,3
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,3
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,1
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,1
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
cities.csv,Country:USA,Threat of terrorism,Cities in USA,Threat of terrorism,2
