fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1960
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1961
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1962
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1963
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1964
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1965
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1966
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1967
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1968
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1969
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1970
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1971
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1960
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1961
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1962
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1963
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1964
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1965
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1966
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1960
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1961
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1962
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1960
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1961
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1962
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1963
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1964
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1965
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1966
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1960
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1961
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1962
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1963
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1964
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1960
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1961
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1962
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1963
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1964
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1965
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1966
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1967
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1968
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1969
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1970
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1971
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1972
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1973
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1974
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1975
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1976
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1977
Gasoline.csv,lincomep:low,year,Counties with low per-capita income,Year,1978
