fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,80
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,70
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,140
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,90
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,60
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,50
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,130
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,150
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,50
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,70
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,150
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,60
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,60
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,80
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,150
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,60
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,70
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,60
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,50
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,80
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,80
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,80
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,80
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,55
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,80
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,60
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,50
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,70
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,100
RiceFarms.csv,pphosph:low,pseed,Farms in areas with cheap phosphate fertilizer,Price of seed,70
