fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,146.66667
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,134.32836
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,160
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,160
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,100
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,133.33333
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,133.33333
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,146.66667
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,146.66667
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,113.63636
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,146.66667
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,120
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,82.70677
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,73.33333
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,100
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,179.10448
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,50
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,97.34513
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,146.66667
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,146.66667
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,110
UScereal.csv,protein:low,calories,Low-protein cereals,Calories,146.66667
UScereal.csv,protein:high,calories,High-protein cereals,Calories,212.12121
UScereal.csv,protein:high,calories,High-protein cereals,Calories,212.12121
UScereal.csv,protein:high,calories,High-protein cereals,Calories,100
UScereal.csv,protein:high,calories,High-protein cereals,Calories,173.33333
UScereal.csv,protein:high,calories,High-protein cereals,Calories,134.32836
UScereal.csv,protein:high,calories,High-protein cereals,Calories,88
UScereal.csv,protein:high,calories,High-protein cereals,Calories,220
UScereal.csv,protein:high,calories,High-protein cereals,Calories,220
UScereal.csv,protein:high,calories,High-protein cereals,Calories,125
UScereal.csv,protein:high,calories,High-protein cereals,Calories,179.10448
UScereal.csv,protein:high,calories,High-protein cereals,Calories,179.10448
UScereal.csv,protein:high,calories,High-protein cereals,Calories,113.63636
UScereal.csv,protein:high,calories,High-protein cereals,Calories,440
UScereal.csv,protein:high,calories,High-protein cereals,Calories,363.63636
UScereal.csv,protein:high,calories,High-protein cereals,Calories,146.66667
UScereal.csv,protein:high,calories,High-protein cereals,Calories,186.66667
UScereal.csv,protein:high,calories,High-protein cereals,Calories,149.25373
UScereal.csv,protein:high,calories,High-protein cereals,Calories,238.80597
UScereal.csv,protein:high,calories,High-protein cereals,Calories,208.95522
UScereal.csv,protein:high,calories,High-protein cereals,Calories,260
UScereal.csv,protein:high,calories,High-protein cereals,Calories,179.10448
UScereal.csv,protein:high,calories,High-protein cereals,Calories,100
UScereal.csv,protein:high,calories,High-protein cereals,Calories,200
UScereal.csv,protein:high,calories,High-protein cereals,Calories,160
UScereal.csv,protein:high,calories,High-protein cereals,Calories,200
UScereal.csv,protein:high,calories,High-protein cereals,Calories,180
UScereal.csv,protein:high,calories,High-protein cereals,Calories,134.32836
UScereal.csv,protein:high,calories,High-protein cereals,Calories,134.32836
UScereal.csv,protein:high,calories,High-protein cereals,Calories,110
UScereal.csv,protein:high,calories,High-protein cereals,Calories,140
UScereal.csv,protein:high,calories,High-protein cereals,Calories,100
UScereal.csv,protein:high,calories,High-protein cereals,Calories,149.25373
UScereal.csv,protein:high,calories,High-protein cereals,Calories,100
