fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.4894
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.1336
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6887
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8989
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.5125
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6821
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6779
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7135
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8023
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6998
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8167
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7422
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8371
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6809
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8595
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.5747
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6255
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.4842
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6422
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7766
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6694
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.4942
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.0918
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.4802
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.748
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6872
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.5831
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6975
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.588
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.4471
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.5902
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8041
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6154
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6171
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7031
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.3297
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.9764
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7743
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.9434
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.5543
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.9119
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6807
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6595
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8095
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.1342
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7104
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7656
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6425
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.5496
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.45
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.5681
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.8042
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.4103
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6651
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.9542
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.3605
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.3759
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.0584
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6418
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6279
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7003
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6464
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7602
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7069
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.6159
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.7682
colleges.csv,Locale:Mid-size City,Admission Rate,Colleges in mid-size cities,Admission rate,0.619
