fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.022
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.149
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.262
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.393
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.729
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.149
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.546
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.115
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.375
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.282
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.044
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,1.315
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.313
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0.033
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
new_spam.csv,yesno:n,bang,NOT spam emails,Number of occurrences of the ! symbol,0
